"MEASURE","Measure","INDEX","Index type","SECTOR","Sector","INDUSTRY","Industry","REGION","Region","TSEST","Adjustment type","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","1997-Q3","Sep-1997",67.9,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","1997-Q4","Dec-1997",68.4,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","1998-Q1","Mar-1998",69,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","1998-Q2","Jun-1998",69.2,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","1998-Q3","Sep-1998",70,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","1998-Q4","Dec-1998",70.5,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","1999-Q1","Mar-1999",71,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","1999-Q2","Jun-1999",71.3,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","1999-Q3","Sep-1999",72.3,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","1999-Q4","Dec-1999",72.6,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2000-Q1","Mar-2000",73.1,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2000-Q2","Jun-2000",73.6,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2000-Q3","Sep-2000",74.9,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2000-Q4","Dec-2000",75.3,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2001-Q1","Mar-2001",76.1,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2001-Q2","Jun-2001",76.5,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2001-Q3","Sep-2001",77.5,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2001-Q4","Dec-2001",78,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2002-Q1","Mar-2002",78.5,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2002-Q2","Jun-2002",78.9,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2002-Q3","Sep-2002",80.1,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2002-Q4","Dec-2002",80.6,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2003-Q1","Mar-2003",81.2,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2003-Q2","Jun-2003",81.6,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2003-Q3","Sep-2003",82.6,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2003-Q4","Dec-2003",83.3,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2004-Q1","Mar-2004",83.8,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2004-Q2","Jun-2004",84.3,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2004-Q3","Sep-2004",85.2,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2004-Q4","Dec-2004",85.8,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2005-Q1","Mar-2005",86.7,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2005-Q2","Jun-2005",87.4,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2005-Q3","Sep-2005",88.4,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2005-Q4","Dec-2005",89,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2006-Q1","Mar-2006",89.9,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2006-Q2","Jun-2006",90.7,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2006-Q3","Sep-2006",91.5,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2006-Q4","Dec-2006",92.3,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2007-Q1","Mar-2007",93.2,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2007-Q2","Jun-2007",94,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2007-Q3","Sep-2007",95,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2007-Q4","Dec-2007",95.8,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2008-Q1","Mar-2008",96.6,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2008-Q2","Jun-2008",97.7,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2008-Q3","Sep-2008",98.9,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2008-Q4","Dec-2008",99.7,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2009-Q1","Mar-2009",100.4,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2009-Q2","Jun-2009",101,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2009-Q3","Sep-2009",101.8,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2009-Q4","Dec-2009",102.2,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2010-Q1","Mar-2010",103.2,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2010-Q2","Jun-2010",103.9,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2010-Q3","Sep-2010",105.3,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2010-Q4","Dec-2010",106.1,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2011-Q1","Mar-2011",107.2,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2011-Q2","Jun-2011",107.8,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2011-Q3","Sep-2011",109.3,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2011-Q4","Dec-2011",110.2,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2012-Q1","Mar-2012",111.1,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2012-Q2","Jun-2012",111.8,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2012-Q3","Sep-2012",113.1,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2012-Q4","Dec-2012",113.7,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2013-Q1","Mar-2013",114.3,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2013-Q2","Jun-2013",114.9,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2013-Q3","Sep-2013",115.9,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2013-Q4","Dec-2013",116.5,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2014-Q1","Mar-2014",117.2,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2014-Q2","Jun-2014",117.7,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2014-Q3","Sep-2014",118.7,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2014-Q4","Dec-2014",119.2,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2015-Q1","Mar-2015",119.7,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2015-Q2","Jun-2015",120.1,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2015-Q3","Sep-2015",121.3,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2015-Q4","Dec-2015",121.7,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2016-Q1","Mar-2016",122.1,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2016-Q2","Jun-2016",122.7,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2016-Q3","Sep-2016",123.6,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2016-Q4","Dec-2016",124.1,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","1","New South Wales","10","Original","Q","Quarterly","2017-Q1","Mar-2017",124.6,,
"1","Index number","THRPEB","Total hourly rates of pay excluding bonuses","1","Private","-","All industries","2","Victoria","10","Original","Q","Quarterly","1997-Q3","Sep-1997",67.7,,
