"MEASURE","Measure","PROP_TYPE","Property type","ASGS_2011","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2002-Q1","Mar-2002",,"u","not applicable"
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2002-Q2","Jun-2002",,"u","not applicable"
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2002-Q3","Sep-2002",,"u","not applicable"
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2002-Q4","Dec-2002",,"u","not applicable"
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2003-Q1","Mar-2003",,"q","not available"
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2003-Q2","Jun-2003",,"q","not available"
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2003-Q3","Sep-2003",,"q","not available"
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2003-Q4","Dec-2003",,"q","not available"
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2004-Q1","Mar-2004",,"q","not available"
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2004-Q2","Jun-2004",,"q","not available"
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2004-Q3","Sep-2004",0.3,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2004-Q4","Dec-2004",0.5,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2005-Q1","Mar-2005",2.8,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2005-Q2","Jun-2005",3.8,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2005-Q3","Sep-2005",3.6,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2005-Q4","Dec-2005",2.6,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2006-Q1","Mar-2006",4.6,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2006-Q2","Jun-2006",6.3,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2006-Q3","Sep-2006",7.9,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2006-Q4","Dec-2006",8.6,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2007-Q1","Mar-2007",8.6,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2007-Q2","Jun-2007",13.1,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2007-Q3","Sep-2007",16.7,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2007-Q4","Dec-2007",21.9,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2008-Q1","Mar-2008",20.7,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2008-Q2","Jun-2008",12.5,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","2GMEL","Greater Melbourne","Q","Quarterly","2008-Q3","Sep-2008",4.4,,
